Date,Prices,,,,,,,,,,,,,
19-05-2015,4100,,,,,,,,,,,,,
20-05-2015,4050,,,,,,,,,,,,,
21-05-2015,4100,,,,,,,,,,,,,
22-05-2015,4125,,,,,,,,,,,,,
23-05-2015,4100,,,,,,,,,,,,,
24-05-2015,4050,,,,,,,,,,,,,
25-05-2015,4050,,,,,,,,,,,,,
26-05-2015,4100,,,,,,,,,,,,,
27-05-2015,3950,,,,,,,,,,,,,
28-05-2015,3950,,,,,,,,,,,,,
29-05-2015,3850,,,,,,,,,,,,,
30-05-2015,3875,,,,,,,,,,,,,
31-05-2015,3950,,,,,,,,,,,,,
01-06-2015,3950,,,,,,,,,,,,,
02-06-2015,4200,,,,,,,,,,,,,
03-06-2015,4150,,,,,,,,,,,,,
04-06-2015,4150,,,,,,,,,,,,,
05-06-2015,4050,,,,,,,,,,,,,
06-06-2015,4150,,,,,,,,,,,,,
07-06-2015,4250,,,,,,,,,,,,,
08-06-2015,4300,,,,,,,,,,,,,
09-06-2015,4200,,,,,,,,,,,,,
10-06-2015,4150,,,,,,,,,,,,,
11-06-2015,4150,,,,,,,,,,,,,
12-06-2015,4125,,,,,,,,,,,,,
13-06-2015,4200,,,,,,,,,,,,,
14-06-2015,3950,,,,,,,,,,,,,
15-06-2015,4000,,,,,,,,,,,,,
16-06-2015,4050,,,,,,,,,,,,,
17-06-2015,4200,,,,,,,,,,,,,
18-06-2015,4200,,,,,,,,,,,,,
19-06-2015,4100,,,,,,,,,,,,,
20-06-2015,4200,,,,,,,,,,,,,
21-06-2015,4200,,,,,,,,,,,,,
22-06-2015,4150,,,,,,,,,,,,,
23-06-2015,4150,,,,,,,,,,,,,
24-06-2015,4050,,,,,,,,,,,,,
25-06-2015,4100,,,,,,,,,,,,,
26-06-2015,4000,,,,,,,,,,,,,
27-06-2015,4100,,,,,,,,,,,,,
28-06-2015,4200,,,,,,,,,,,,,
29-06-2015,3900,,,,,,,,,,,,,
30-06-2015,4100,,,,,,,,,,,,,
01-07-2015,4100,,,,,,,,,,,,,
02-07-2015,4200,,,,,,,,,,,,,
03-07-2015,4100,,,,,,,,,,,,,
04-07-2015,4000,,,,,,,,,,,,,
05-07-2015,4050,,,,,,,,,,,,,
06-07-2015,4100,,,,,,,,,,,,,
07-07-2015,4050,,,,,,,,,,,,,
08-07-2015,4050,,,,,,,,,,,,,
09-07-2015,4100,,,,,,,,,,,,,
10-07-2015,4150,,,,,,,,,,,,,
11-07-2015,4150,,,,,,,,,,,,,
12-07-2015,4150,,,,,,,,,,,,,
13-07-2015,4200,,,,,,,,,,,,,
14-07-2015,4150,,,,,,,,,,,,,
15-07-2015,4200,,,,,,,,,,,,,
16-07-2015,4200,,,,,,,,,,,,,
17-07-2015,4200,,,,,,,,,,,,,
18-07-2015,4200,,,,,,,,,,,,,
19-07-2015,3850,,,,,,,,,,,,,
20-07-2015,4150,,,,,,,,,,,,,
21-07-2015,4200,,,,,,,,,,,,,
22-07-2015,4200,,,,,,,,,,,,,
23-07-2015,4250,,,,,,,,,,,,,
24-07-2015,4175,,,,,,,,,,,,,
